company_name,year,cik,name,ticker,filingDate,reportDate,form,accessionNumber,primaryDocument,secIndexUrl,interactiveDataUrl,xbrlUrl
burlington,2019,1579298,"Burlington Stores, Inc.",BURL,2019-03-20,2019-02-02,10-K,0001564590-19-008656,burl-10k_20190202.htm,https://www.sec.gov/Archives/edgar/data/0001579298/000156459019008656/0001564590-19-008656-index.html,https://www.sec.gov/cgi-bin/viewer?action=view&cik=1579298&accession_number=0001564590-19-008656&xbrl_type=v,https://www.sec.gov/Archives/edgar/data/1579298/000156459019008656/burl-20190202.xml
macys,2024,794367,"Macy's, Inc.",M,2024-03-22,2024-02-03,10-K,0001628280-24-012734,m-20240203.htm,https://www.sec.gov/Archives/edgar/data/0000794367/000162828024012734/0001628280-24-012734-index.html,https://www.sec.gov/cgi-bin/viewer?action=view&cik=794367&accession_number=0001628280-24-012734&xbrl_type=v,https://www.sec.gov/Archives/edgar/data/794367/000162828024012734/m-20240203_htm.xml
macys,2023,794367,"Macy's, Inc.",M,2023-03-24,2023-01-28,10-K,0001628280-23-009154,m-20230128.htm,https://www.sec.gov/Archives/edgar/data/0000794367/000162828023009154/0001628280-23-009154-index.html,https://www.sec.gov/cgi-bin/viewer?action=view&cik=794367&accession_number=0001628280-23-009154&xbrl_type=v,https://www.sec.gov/Archives/edgar/data/794367/000162828023009154/m-20230128_htm.xml
macys,2022,794367,"Macy's, Inc.",M,2022-03-25,2022-01-29,10-K,0001564590-22-011726,m-10k_20220129.htm,https://www.sec.gov/Archives/edgar/data/0000794367/000156459022011726/0001564590-22-011726-index.html,https://www.sec.gov/cgi-bin/viewer?action=view&cik=794367&accession_number=0001564590-22-011726&xbrl_type=v,https://www.sec.gov/Archives/edgar/data/794367/000156459022011726/m-10k_20220129_htm.xml
macys,2021,794367,"Macy's, Inc.",M,2021-03-29,2021-01-30,10-K,0001564590-21-016119,m-10k_20210130.htm,https://www.sec.gov/Archives/edgar/data/0000794367/000156459021016119/0001564590-21-016119-index.html,https://www.sec.gov/cgi-bin/viewer?action=view&cik=794367&accession_number=0001564590-21-016119&xbrl_type=v,https://www.sec.gov/Archives/edgar/data/794367/000156459021016119/m-10k_20210130_htm.xml
macys,2020,794367,"Macy's, Inc.",M,2020-03-30,2020-02-01,10-K,0000794367-20-000040,m-0201202010xk.htm,https://www.sec.gov/Archives/edgar/data/0000794367/000079436720000040/0000794367-20-000040-index.html,https://www.sec.gov/cgi-bin/viewer?action=view&cik=794367&accession_number=0000794367-20-000040&xbrl_type=v,https://www.sec.gov/Archives/edgar/data/794367/000079436720000040/m-0201202010xk_htm.xml
macys,2019,794367,"Macy's, Inc.",M,2019-04-03,2019-02-02,10-K,0000794367-19-000038,m-0202201910xk.htm,https://www.sec.gov/Archives/edgar/data/0000794367/000079436719000038/0000794367-19-000038-index.html,https://www.sec.gov/cgi-bin/viewer?action=view&cik=794367&accession_number=0000794367-19-000038&xbrl_type=v,https://www.sec.gov/Archives/edgar/data/794367/000079436719000038/m-20190202.xml
nordstrom,2024,72333,NORDSTROM INC,JWN,2024-03-19,2024-02-03,10-K,0000072333-24-000031,jwn-20240203.htm,https://www.sec.gov/Archives/edgar/data/0000072333/000007233324000031/0000072333-24-000031-index.html,https://www.sec.gov/cgi-bin/viewer?action=view&cik=72333&accession_number=0000072333-24-000031&xbrl_type=v,https://www.sec.gov/Archives/edgar/data/72333/000007233324000031/jwn-20240203_htm.xml
nordstrom,2023,72333,NORDSTROM INC,JWN,2023-03-10,2023-01-28,10-K,0000072333-23-000037,jwn-20230128.htm,https://www.sec.gov/Archives/edgar/data/0000072333/000007233323000037/0000072333-23-000037-index.html,https://www.sec.gov/cgi-bin/viewer?action=view&cik=72333&accession_number=0000072333-23-000037&xbrl_type=v,https://www.sec.gov/Archives/edgar/data/72333/000007233323000037/jwn-20230128_htm.xml
nordstrom,2022,72333,NORDSTROM INC,JWN,2022-03-11,2022-01-29,10-K,0000072333-22-000060,jwn-20220129.htm,https://www.sec.gov/Archives/edgar/data/0000072333/000007233322000060/0000072333-22-000060-index.html,https://www.sec.gov/cgi-bin/viewer?action=view&cik=72333&accession_number=0000072333-22-000060&xbrl_type=v,https://www.sec.gov/Archives/edgar/data/72333/000007233322000060/jwn-20220129_htm.xml
nordstrom,2021,72333,NORDSTROM INC,JWN,2021-03-16,2021-01-30,10-K,0000072333-21-000099,jwn-20210130.htm,https://www.sec.gov/Archives/edgar/data/0000072333/000007233321000099/0000072333-21-000099-index.html,https://www.sec.gov/cgi-bin/viewer?action=view&cik=72333&accession_number=0000072333-21-000099&xbrl_type=v,https://www.sec.gov/Archives/edgar/data/72333/000007233321000099/jwn-20210130_htm.xml
nordstrom,2020,72333,NORDSTROM INC,JWN,2020-03-20,2020-02-01,10-K,0000072333-20-000078,jwn-212020x10k.htm,https://www.sec.gov/Archives/edgar/data/0000072333/000007233320000078/0000072333-20-000078-index.html,https://www.sec.gov/cgi-bin/viewer?action=view&cik=72333&accession_number=0000072333-20-000078&xbrl_type=v,https://www.sec.gov/Archives/edgar/data/72333/000007233320000078/jwn-212020x10k_htm.xml
nordstrom,2019,72333,NORDSTROM INC,JWN,2019-03-18,2019-02-02,10-K,0000072333-19-000060,jwn-222019x10k.htm,https://www.sec.gov/Archives/edgar/data/0000072333/000007233319000060/0000072333-19-000060-index.html,https://www.sec.gov/cgi-bin/viewer?action=view&cik=72333&accession_number=0000072333-19-000060&xbrl_type=v,https://www.sec.gov/Archives/edgar/data/72333/000007233319000060/jwn-20190202.xml
