company_name,year,Net Revenue,Cost of Goods,SG&A,Operating Profit,Net Profit,Inventory,Current Assets,Total Assets,Current Liabilities,Total Shareholder Equity,Total Liabilities and Shareholder Equity
levi,2023,6168.6,2619.8,2893.2,646.5,569.1,1416.8,2827.9,6037.8,1981.6,1903.7,6037.8
levi,2022,5763.94,2417.22,2652.21,686.21,553.54,897.95,2709.9,5900.07,1869.62,1665.66,5900.07
levi,2021,4452.61,2099.68,2347.63,-85.12,-127.14,817.69,3126.24,5641.24,1548.88,1299.47,5641.24
dicks,2024,12984.4,8450.66,3204.11,1282.37,1046.52,2848.8,4890.05,9311.75,2752.39,2617.28,9311.75
dicks,2023,12368.2,8083.64,2805.46,1463.02,1043.14,2830.92,4963.19,8992.2,2641.45,2524.62,8992.2
dicks,2022,12293.37,7581.48,2664.08,2034.5,1519.87,2297.61,5106.66,9041.68,2712.68,2101.59,9041.68
dicks,2021,9584.02,6533.31,2298.53,741.48,530.25,1953.57,3759.65,7752.86,2550.2,2339.53,7752.86
dicks,2020,8750.74,6196.19,2173.68,375.61,297.46,2202.28,2410.02,6628.56,2076.47,1731.6,6628.56
dicks,2019,8436.57,5998.79,1986.58,444.73,319.86,1824.7,2122.4,4187.15,1504.64,1904.16,4187.15
academy_sports,2024,6159.29,4049.08,1432.36,677.86,519.19,1194.16,1644.9,4676.71,879.86,1954.65,4676.71
academy_sports,2023,6395.07,4182.57,1365.95,846.55,628.0,1283.52,1686.67,4595.44,1038.72,1628.31,4595.44
academy_sports,2022,6773.13,4422.03,1443.15,907.95,671.38,1171.81,1715.75,4584.94,1127.11,1466.95,4584.94
academy_sports,2021,5689.23,3955.19,1313.65,420.4,308.76,990.03,1415.02,4384.48,1167.09,1111.98,4384.48
best_buy,2024,43452.0,33849.0,7876.0,1574.0,1241.0,4958.0,7897.0,14967.0,7909.0,3053.0,14967.0
best_buy,2023,46298.0,36386.0,7970.0,1795.0,1419.0,5140.0,8802.0,15803.0,8979.0,2795.0,15803.0
best_buy,2022,51761.0,40121.0,8635.0,3039.0,2454.0,5965.0,10539.0,17504.0,10674.0,3020.0,17504.0
best_buy,2021,47262.0,36689.0,7928.0,2391.0,1798.0,5612.0,12540.0,19067.0,10521.0,4587.0,19067.0
best_buy,2020,43638.0,33590.0,7998.0,2009.0,1541.0,5174.0,8857.0,15591.0,8060.0,3479.0,15591.0
best_buy,2019,42879.0,32918.0,8015.0,1900.0,1464.0,5409.0,8870.0,12901.0,7513.0,3306.0,12901.0
yeti,2024,1658.71,715.53,717.73,225.46,169.88,337.21,914.4,1297.19,398.35,723.61,1297.19
yeti,2023,1595.22,58.6,637.04,126.36,89.69,371.41,718.92,1076.77,409.04,526.48,1076.77
yeti,2022,1410.99,594.88,541.17,274.94,212.6,318.86,770.17,1096.36,403.71,517.82,1096.36
yeti,2021,1091.72,462.92,414.57,214.23,155.8,140.11,476.5,737.07,287.76,288.42,737.07
yeti,2020,913.73,438.42,385.54,89.77,50.43,185.7,360.55,629.54,170.31,122.0,629.54
yeti,2019,778.83,395.7,280.97,102.16,57.76,145.42,297.01,514.21,187.34,28.97,514.21
sherwin_williams,2024,23051.9,12293.8,7065.4,4161.7,2388.8,2329.8,5512.9,22954.4,6626.9,3715.8,22954.4
sherwin_williams,2023,22148.9,12823.8,6014.5,3397.2,2020.1,2626.5,5907.7,22594.0,5960.7,3102.1,22594.0
sherwin_williams,2022,19944.6,11401.9,5572.5,3083.7,1864.4,1927.2,5053.7,20666.7,5719.5,2437.2,20666.7
sherwin_williams,2021,18361.7,9679.1,5477.9,3373.8,2030.4,1804.1,4591.4,20401.6,4594.4,3610.8,20401.6
sherwin_williams,2020,17900.8,9864.7,5274.9,2808.8,1541.3,1889.6,4631.7,20496.2,4521.9,4123.3,20496.2
sherwin_williams,2019,17534.49,10115.93,5033.78,2611.0,1108.75,1815.28,4344.49,19134.0,4297.75,3730.74,19134.28
rh,2024,3029.13,1640.11,1022.95,366.07,127.56,754.13,1101.9,4143.9,872.87,-297.39,4143.9
rh,2023,3590.48,1778.49,1089.83,722.16,528.64,801.84,2512.66,5309.29,885.97,784.66,5309.29
rh,2022,3758.82,1903.41,928.23,927.18,688.55,734.29,3091.44,5540.47,1063.76,1170.28,5540.47
