company_name,year,Net Revenue,Cost of Goods,SG&A,Operating Profit,Net Profit,Inventory,Current Assets,Total Assets,Current Liabilities,Total Shareholder Equity,Total Liabilities and Shareholder Equity
burlington,2022,9322256.0,5436155.0,2868527.0,545298.0,408839.0,1021009.0,2547644.0,7089513.0,1947647.0,760417.0,7089513.0
burlington,2021,5763980.0,3555024.0,2326928.0,-437623.0,-216499.0,740788.0,2510616.0,6781092.0,1683996.0,464754.0,6781092.0
burlington,2020,7286398.0,4228740.0,2228178.0,580525.0,465116.0,777248.0,1417371.0,5593859.0,1461901.0,528149.0,5593859.0
burlington,2019,6668479.0,3868119.0,2018737.0,507584.0,414745.0,954183.0,1271900.0,3079172.0,1247742.0,322710.0,3079172.0
macys,2024,23866000.0,14143000.0,8375000.0,382000.0,105000.0,4361000.0,6089000.0,16246000.0,4430000.0,4137000.0,16246000.0
macys,2023,25305000.0,15306000.0,8317000.0,1730000.0,1177000.0,4267000.0,5853000.0,16866000.0,4861000.0,4082000.0,16866000.0
macys,2022,25300000.0,14956000.0,8047000.0,2350000.0,1430000.0,4383000.0,6758000.0,17590000.0,5416000.0,3621000.0,17590000.0
macys,2021,17346000.0,12286000.0,6767000.0,-4475000.0,-3944000.0,3774000.0,6184000.0,17706000.0,5357000.0,2553000.0,17706000.0
macys,2020,24560000.0,15171000.0,8998000.0,970000.0,564000.0,5188000.0,6810000.0,21172000.0,5750000.0,6377000.0,21172000.0
macys,2019,24971000.0,15215000.0,9039000.0,1738000.0,1108000.0,5263000.0,7445000.0,19194000.0,5232000.0,6436000.0,19194000.0
nordstrom,2024,14693000.0,9303000.0,4855000.0,251000.0,134000.0,1888000.0,3136000.0,8444000.0,3072000.0,848000.0,8444000.0
nordstrom,2023,15530000.0,10019000.0,5046000.0,465000.0,245000.0,1941000.0,3209000.0,8745000.0,2990000.0,739000.0,8745000.0
nordstrom,2022,14789000.0,9344000.0,4953000.0,492000.0,178000.0,2289000.0,3172000.0,8869000.0,3314000.0,581000.0,8869000.0
nordstrom,2021,10715000.0,7600000.0,4162000.0,-1047000.0,-690000.0,1863000.0,3642000.0,9538000.0,4120000.0,305000.0,9538000.0
nordstrom,2020,15524000.0,9932000.0,4808000.0,784000.0,496000.0,1920000.0,3230000.0,9737000.0,3520000.0,979000.0,9737000.0
nordstrom,2019,15860000.0,10155000.0,4868000.0,837000.0,564000.0,1978000.0,3374000.0,7886000.0,3381000.0,873000.0,7886000.0
dillards,2023,6996215.0,3983598.0,1674317.0,1109467.0,891637.0,1120208.0,2071846.0,3329150.0,858961.0,1598638.0,3329150.0
dillards,2022,6624267.0,3747665.0,1536554.0,1088363.0,862473.0,1080178.0,1914651.0,3245557.0,966186.0,1451218.0,3245557.0
dillards,2021,4433185.0,3069063.0,1211483.0,-153404.0,-71654.0,1087763.0,1661940.0,3092515.0,772877.0,1441008.0,3092515.0
dillards,2020,6343211.0,4235978.0,1691017.0,133891.0,111081.0,1465007.0,1848082.0,3430257.0,930820.0,1623259.0,3430257.0
dillards,2019,6503349.0,4291520.0,1691180.0,207962.0,170263.0,1528417.0,1770532.0,3431369.0,933535.0,1678381.0,3431369.0
kohls,2024,17476000.0,10498000.0,5512000.0,717000.0,317000.0,2880000.0,3410000.0,14009000.0,2612000.0,3893000.0,14009000.0
kohls,2023,18098000.0,11457000.0,5587000.0,246000.0,-19000.0,3189000.0,3736000.0,14345000.0,3115000.0,3763000.0,14345000.0
kohls,2022,19433000.0,11437000.0,5478000.0,1680000.0,938000.0,3067000.0,5023000.0,15054000.0,3286000.0,4661000.0,15054000.0
kohls,2021,15031000.0,10360000.0,5021000.0,-262000.0,-163000.0,2590000.0,5835000.0,15337000.0,3022000.0,5196000.0,15337000.0
kohls,2020,19974000.0,12140000.0,5705000.0,1099000.0,691000.0,3537000.0,4649000.0,14555000.0,2769000.0,5450000.0,14555000.0
kohls,2019,20229000.0,12199000.0,5601000.0,1361000.0,801000.0,3475000.0,4835000.0,12469000.0,2730000.0,5527000.0,12469000.0
amazon,2024,574785000.0,304739000.0,56186000.0,36852000.0,30425000.0,33318000.0,172351000.0,527854000.0,164917000.0,201875000.0,527854000.0
amazon,2023,513983000.0,288831000.0,54129000.0,12248000.0,-2722000.0,34405000.0,146791000.0,462675000.0,155393000.0,146043000.0,462675000.0
amazon,2022,469822000.0,272344000.0,41374000.0,24879000.0,33364000.0,32640000.0,161580000.0,420549000.0,142266000.0,138245000.0,420549000.0
amazon,2021,386064000.0,233307000.0,7268000.0,22899000.0,21331000.0,23795000.0,132733000.0,321195000.0,126385000.0,93404000.0,321195000.0
wayfair,2024,12003000.0,8336000.0,2447000.0,-813000.0,-738000.0,75000.0,1855000.0,3474000.0,2183000.0,-2707000.0,3474000.0
wayfair,2023,12218000.0,8802000.0,2625000.0,-1384000.0,-1331000.0,90000.0,1933000.0,3580000.0,2072000.0,-2550000.0,3580000.0
wayfair,2022,13708000.0,9813000.0,2015000.0,-94000.0,-131000.0,69000.0,3012000.0,4570000.0,2217000.0,-1619000.0,4570000.0
wayfair,2021,14145156.0,10032985.0,1830090.0,360349.0,184996.0,52152.0,3045802.0,4569929.0,2165594.0,-1191897.0,4569929.0
wayfair,2020,9127057.0,6979725.0,3077273.0,-929941.0,-984584.0,61692.0,1377138.0,2953048.0,1611519.0,-944208.0,2953048.0
wayfair,2019,6779174.0,5192451.0,2060002.0,-473279.0,-504080.0,46164.0,1255936.0,1890850.0,1139223.0,-330721.0,1890850.0
chewy,2024,11147720.0,7986202.0,2442683.0,-23625.0,39580.0,719273.0,2104348.0,3186851.0,2110877.0,510244.0,3186851.0
chewy,2023,10098939.0,7268034.0,2125766.0,55753.0,49232.0,675520.0,1520321.0,2515076.0,1769349.0,213957.0,2515076.0
chewy,2022,8890773.0,6517191.0,1826858.0,-72178.0,-73817.0,560430.0,1323532.0,2086281.0,1644879.0,14736.0,2086281.0
chewy,2021,7146264.0,5325457.0,1397969.0,-90464.0,-92486.0,513304.0,1226778.0,1740910.0,1380862.0,-2004.0,1740910.0
chewy,2020,4846743.0,3702683.0,969890.0,-252726.0,-252370.0,317808.0,629789.0,932321.0,1100538.0,-403974.0,932321.0
ulta_beauty,2024,11207303.0,6826203.0,2694561.0,1678029.0,1291005.0,1742136.0,2836518.0,5707011.0,1658191.0,2279328.0,5707011.0
ulta_beauty,2023,10208580.0,6164070.0,2395299.0,1638610.0,1242408.0,1603451.0,2709304.0,5370411.0,1681775.0,1959811.0,5370411.0
ulta_beauty,2022,8630889.0,5262335.0,2061545.0,1297492.0,985837.0,1499218.0,2281183.0,4764379.0,1558010.0,1535373.0,4764379.0
ulta_beauty,2021,6151953.0,4202794.0,1583017.0,236820.0,175835.0,1168215.0,2514777.0,5089969.0,1343713.0,1999549.0,5089969.0
ulta_beauty,2020,7398068.0,4717004.0,1760716.0,901094.0,705945.0,1293701.0,2055317.0,4863872.0,1137261.0,1902094.0,4863872.0
ulta_beauty,2019,6716615.0,4307304.0,1535464.0,854080.0,658559.0,1214329.0,1914861.0,3191172.0,823736.0,1820218.0,3191172.0
bbb,2023,5344685.0,4129802.0,2372969.0,-2775639.0,-3498801.0,817553.0,1096909.0,2225217.0,2495884.0,-2800008.0,2225217.0
bbb,2022,7867778.0,5384287.0,2692292.0,-407578.0,-559623.0,1725410.0,2363154.0,5130572.0,2074787.0,174145.0,5130572.0
bbb,2021,9233028.0,6114947.0,3224363.0,-336887.0,-150773.0,1671909.0,3620045.0,6456930.0,2294921.0,1276936.0,6456930.0
bbb,2020,11158580.0,7616920.0,3732498.0,-700064.0,-613816.0,2093869.0,3826285.0,7790515.0,2466526.0,1764935.0,7790515.0
bbb,2019,12028797.0,7924817.0,3681210.0,-87135.0,-137224.0,2618922.0,3909972.0,6570541.0,2077632.0,2560331.0,6570541.0
victorias_secret,2024,6182000.0,3940000.0,1996000.0,246000.0,109000.0,985000.0,1533000.0,4600000.0,1614000.0,417000.0,4600000.0
victorias_secret,2023,6344000.0,4086000.0,1780000.0,478000.0,348000.0,1052000.0,1737000.0,4711000.0,1579000.0,401000.0,4711000.0
victorias_secret,2022,6785000.0,4025000.0,1890000.0,870000.0,646000.0,949000.0,1691000.0,4344000.0,1698000.0,257000.0,4344000.0
signet_jewelers,2024,7171100.0,4345700.0,2197700.0,621500.0,775900.0,1936600.0,3536600.0,6813200.0,1976000.0,2166500.0,6813200.0
signet_jewelers,2023,7842100.0,4790000.0,2214600.0,604900.0,376700.0,2150300.0,3507100.0,6620400.0,2248100.0,1578600.0,6620400.0
signet_jewelers,2022,7826000.0,4702000.0,2230900.0,903400.0,769900.0,2060400.0,3730400.0,6575100.0,2070700.0,1564000.0,6575100.0
signet_jewelers,2021,5226900.0,3493000.0,1587400.0,-57700.0,-15200.0,2032500.0,3582000.0,6178900.0,1998700.0,1190300.0,6178900.0
signet_jewelers,2020,6137100.0,3904200.0,1918200.0,158300.0,105500.0,2331700.0,3154800.0,6299100.0,1652600.0,1222600.0,6299100.0
signet_jewelers,2019,6247100.0,4024100.0,1985100.0,-764600.0,-657400.0,2386900.0,2855800.0,4420100.0,1033000.0,1201600.0,4420100.0
tapestry,2024,6671200.0,1781700.0,3749400.0,1140100.0,816000.0,824800.0,8803700.0,13396300.0,1711600.0,2896900.0,13396300.0
tapestry,2023,6660900.0,1946000.0,3542500.0,1172400.0,936000.0,919500.0,2363500.0,7116800.0,1286500.0,2277800.0,7116800.0
tapestry,2022,6684500.0,2034100.0,3474600.0,1175800.0,856300.0,994200.0,2573800.0,7265300.0,1468800.0,2285500.0,7265300.0
tapestry,2021,5746300.0,1664400.0,3113900.0,968000.0,834200.0,734800.0,3375300.0,8382400.0,1425800.0,3259300.0,8382400.0
tapestry,2020,4961400.0,1722100.0,3312400.0,-550800.0,-652100.0,736900.0,2553100.0,7924200.0,1742100.0,2276400.0,7924200.0
tapestry,2019,6027100.0,1973400.0,3239600.0,814100.0,643400.0,778300.0,2556800.0,6877300.0,918000.0,3513400.0,6877300.0
capri_holdings,2024,5170000.0,1831000.0,2784000.0,-241000.0,-229000.0,862000.0,1608000.0,6689000.0,1695000.0,1600000.0,6689000.0
capri_holdings,2023,5619000.0,1895000.0,2708000.0,679000.0,619000.0,1057000.0,1870000.0,7295000.0,1450000.0,1849000.0,7295000.0
capri_holdings,2022,5654000.0,1910000.0,2533000.0,903000.0,823000.0,1096000.0,1891000.0,7480000.0,1566000.0,2558000.0,7480000.0
capri_holdings,2021,4060000.0,1463000.0,2018000.0,19000.0,-63000.0,736000.0,1546000.0,7481000.0,1621000.0,2157000.0,7481000.0
capri_holdings,2020,5551000.0,2280000.0,2464000.0,-192000.0,-225000.0,827000.0,1894000.0,7946000.0,1401000.0,2168000.0,7946000.0
capri_holdings,2019,5238000.0,2058000.0,2075000.0,735000.0,543000.0,953000.0,1729000.0,6650000.0,1542000.0,2432000.0,6650000.0
lululemon,2024,9619278.0,4009873.0,3397218.0,2132676.0,1550190.0,1323602.0,4060577.0,7091941.0,1631261.0,4232081.0,7091941.0
lululemon,2023,8110518.0,3618178.0,2757447.0,1328408.0,854800.0,1447367.0,3159453.0,5607038.0,1492198.0,3148799.0,5607038.0
