company_name,year,reportDate,Net Revenue,Cost of Goods,SG&A,Operating Profit,Net Profit,Inventory,Current Assets,Total Assets,Current Liabilities,Total Shareholder Equity,Total Liabilities and Shareholder Equity
Ross,2023,2023-01-28,18695829,13946230,2759268,1990328,1512041,2023495,6904719,13416463,3636246,4288583,13416463
Burlington,2023,2023-01-28,8702604,5171715,2877356,583135,230123,1181982,2283792,7269597,1911951,794905,7269597
Macy's,2023,2023-01-28,25305000,15306000,8317000,1730000,1177000,4267000,5853000,16866000,4861000,4082000,16866000
Nordstrom,2023,2023-01-28,15530000,10019000,5046000,465000,245000,1941000,3209000,8745000,2990000,739000,8745000
Dillard's,2023,2023-01-28,6996215,3983598,1674317,1260329,891637,1120208,2071846,3329150,858961,1598638,3329150
Kohl's,2023,2023-01-28,18098000,11457000,5587000,246000,-19000,3189000,3736000,14345000,3115000,3763000,14345000
Amazon,2023,2022-12-31,513983000,288831000,54129000,12248000,-2722000,34405000,146791000,462675000,155393000,146043000,462675000
Wayfair,2023,2022-12-31,12218000,8802000,2625000,-1384000,-1331000,90000,1933000,3580000,2072000,-2550000,3580000
Chewy,2023,2023-01-29,10098939,7268034,2125766,55753,49232,675520,1520321,2515076,1769349,213957,2515076
Ulta Beauty,2023,2023-01-28,10208580,6164070,2395299,1638610,1242408,1603451,2709304,5370411,1681775,1959811,5370411
Bath & Body Works,2023,2023-02-25,5344685,4129802,2372969,-2775639,-3498801,817553,1096909,2225217,2495884,-2800008,2225217
Victoria's Secret,2023,2023-01-28,6344000,4086000,1780000,478000,348000,1052000,1737000,4711000,1579000,383000,4711000
Signet Jewelers,2023,2023-01-28,7842100,4790000,2214600,604900,376700,2150300,3507100,6620400,2248100,1578600,6620400
Tapestry,2023,2023-07-01,6660900,1946000,3542500,1172400,936000,919500,2363500,7116800,1286500,2277800,7116800
Capri Holdings,2023,2023-04-01,5619000,1895000,2708000,679000,619000,1057000,1870000,7295000,1450000,1849000,7295000
