company_name,year,Net Revenue,Cost of Goods,SG&A,Operating Profit,Net Profit,Inventory,Current Assets,Total Assets,Current Liabilities,Total Shareholder Equity,Total Liabilities and Shareholder Equity,Gross Margin,Liabilities,Cost of Goods Percentage,Gross Margin Percentage,SG&A Expense Percentage,Operating Profit Margin Percentage,Net Profit Margin Percentage,Inventory Turnover,Asset Turnover,Return on Assets Percentage,Current Ratio,Quick Ratio,Debt to Equity Ratio,3-Year Revenue CAGR
dollar_tree,2022,26321200.0,18583900.0,5925900.0,1811400.0,1327900.0,4367300.0,5609200.0,21721800.0,4176600.0,7718500.0,21721800.0,7737300.0,14003300.0,70.6%,29.4%,22.5%,6.9%,5.0%,4.3,1.2,6.1%,1.3,0.3,1.8,4.9%
dollar_tree,2021,25509300.0,17721000.0,5900400.0,1887900.0,1341900.0,3427000.0,5050800.0,20696000.0,3730300.0,7285300.0,20696000.0,7788300.0,13410700.0,69.5%,30.5%,23.1%,7.4%,5.3%,5.2,1.2,6.5%,1.4,0.4,1.8,
dollar_tree,2020,23610800.0,16570100.0,5778500.0,1262200.0,827000.0,3522000.0,4269400.0,19574600.0,3546500.0,6254800.0,19574600.0,7040700.0,13319800.0,70.2%,29.8%,24.5%,5.3%,3.5%,4.7,1.2,4.2%,1.2,0.2,2.1,
dollar_tree,2019,22823300.0,15875800.0,7887000.0,-939500.0,-1590800.0,3536000.0,4293300.0,13501200.0,2095700.0,5642900.0,13501200.0,6947500.0,7858300.0,69.6%,30.4%,34.6%,-4.1%,-7.0%,4.5,1.7,-11.8%,2.0,0.4,1.4,
five_below,2024,3559369.0,2285544.0,757507.0,385571.0,301106.0,584627.0,1203542.0,3872037.0,715926.0,1584956.0,3872037.0,1273825.0,2287081.0,64.2%,35.8%,21.3%,10.8%,8.5%,3.9,0.9,7.8%,1.7,0.9,1.4,22.0%
five_below,2023,3076308.0,1980817.0,750448.0,345043.0,261528.0,527720.0,1066379.0,3324911.0,602560.0,1361929.0,3324911.0,1095491.0,1962982.0,64.4%,35.6%,24.4%,11.2%,8.5%,3.8,0.9,7.9%,1.8,0.9,1.4,18.5%
five_below,2022,2848354.0,1817910.0,650564.0,379880.0,278810.0,455104.0,904739.0,2880460.0,586901.0,1120284.0,2880460.0,1030444.0,1760176.0,63.8%,36.2%,22.8%,13.3%,9.8%,4.0,1.0,9.7%,1.5,0.8,1.6,22.2%
five_below,2021,1962137.0,1309807.0,497527.0,154803.0,123361.0,281267.0,755413.0,2314770.0,435670.0,881886.0,2314770.0,652330.0,1432884.0,66.8%,33.2%,25.4%,7.9%,6.3%,4.7,0.8,5.3%,1.7,1.1,1.6,
five_below,2020,1846730.0,1172764.0,456682.0,217284.0,175056.0,324028.0,665713.0,1958661.0,351345.0,759778.0,1958661.0,673966.0,1198883.0,63.5%,36.5%,24.7%,11.8%,9.5%,3.6,0.9,8.9%,1.9,1.0,1.6,
five_below,2019,1559563.0,994478.0,377901.0,187184.0,149645.0,243636.0,642257.0,952264.0,253105.0,615094.0,952264.0,565085.0,337170.0,63.8%,36.2%,24.2%,12.0%,9.6%,4.1,1.6,15.7%,2.5,1.6,0.5,
costco,2024,254453000.0,222358000.0,22810000.0,9285000.0,7367000.0,18647000.0,34246000.0,69831000.0,35464000.0,23622000.0,69831000.0,32095000.0,46209000.0,87.4%,12.6%,9.0%,3.6%,2.9%,11.9,3.6,10.5%,1.0,0.4,2.0,9.1%
costco,2023,242290000.0,212586000.0,21590000.0,8114000.0,6292000.0,16651000.0,35879000.0,68994000.0,33583000.0,25058000.0,68994000.0,29704000.0,43936000.0,87.7%,12.3%,8.9%,3.3%,2.6%,12.8,3.5,9.1%,1.1,0.6,1.8,13.3%
costco,2022,222730000.0,199382000.0,19779000.0,7793000.0,5844000.0,17907000.0,32696000.0,64166000.0,31998000.0,20647000.0,64166000.0,23348000.0,43519000.0,89.5%,10.5%,8.9%,3.5%,2.6%,11.1,3.5,9.1%,1.0,0.5,2.1,85.8%
costco,2021,195929000.0,170684000.0,18461000.0,6708000.0,5007000.0,14215000.0,29505000.0,59268000.0,29441000.0,17564000.0,59268000.0,25245000.0,41704000.0,87.1%,12.9%,9.4%,3.4%,2.6%,12.0,3.3,8.4%,1.0,0.5,2.4,
costco,2020,166761000.0,144939000.0,16332000.0,5435000.0,4002000.0,12242000.0,28120000.0,55556000.0,24844000.0,18705000.0,55556000.0,21822000.0,36851000.0,86.9%,13.1%,9.8%,3.3%,2.4%,11.8,3.0,7.2%,1.1,0.6,2.0,
costco,2019,34740000.0,30233000.0,3371000.0,1122000.0,906000.0,11395000.0,23485000.0,45400000.0,23237000.0,15584000.0,45400000.0,4507000.0,29816000.0,87.0%,13.0%,9.7%,3.2%,2.6%,2.7,0.8,2.0%,1.0,0.5,1.9,
ross,2024,20376941.0,14801601.0,3267677.0,2471781.0,1874520.0,2192220.0,7398138.0,14300109.0,4185796.0,4871326.0,14300109.0,5575340.0,9428783.0,72.6%,27.4%,16.0%,12.1%,9.2%,6.8,1.4,13.1%,1.8,1.2,1.9,17.6%
ross,2023,18695829.0,13946230.0,2759268.0,1987489.0,1512041.0,2023495.0,6904719.0,13416463.0,3636246.0,4288583.0,13416463.0,4749599.0,9127880.0,74.6%,25.4%,14.8%,10.6%,8.1%,6.9,1.4,11.3%,1.9,1.3,2.1,5.2%
ross,2022,18916244.0,13708907.0,2874469.0,2258540.0,1722589.0,2262273.0,7473176.0,13640256.0,4214929.0,4060050.0,13640256.0,5207337.0,9580206.0,72.5%,27.5%,15.2%,11.9%,9.1%,6.1,1.4,12.6%,1.8,1.2,2.4,8.1%
ross,2021,12531565.0,9838574.0,2503281.0,106297.0,85382.0,1508982.0,6692491.0,12717867.0,3967033.0,3290640.0,12717867.0,2692991.0,9427227.0,78.5%,21.5%,20.0%,0.8%,0.7%,6.5,1.0,0.7%,1.7,1.3,2.9,
ross,2020,16039073.0,11536187.0,2356704.0,2164288.0,1660928.0,1832339.0,3432828.0,9348367.0,2701934.0,3359249.0,9348367.0,4502886.0,5989118.0,71.9%,28.1%,14.7%,13.5%,10.4%,6.3,1.7,17.8%,1.3,0.6,1.8,
ross,2019,14983541.0,10726277.0,2216550.0,2050876.0,1587457.0,1750442.0,3404019.0,6073691.0,2009484.0,3305746.0,6073691.0,4257264.0,2767945.0,71.6%,28.4%,14.8%,13.7%,10.6%,6.1,2.5,26.1%,1.7,0.8,0.8,
burlington,2024,9727467.0,5584060.0,3288315.0,465773.0,339649.0,1087841.0,2327024.0,7706840.0,2028786.0,996932.0,7706840.0,4143407.0,6709908.0,57.4%,42.6%,33.8%,4.8%,3.5%,5.1,1.3,4.4%,1.1,0.6,6.7,19.1%
burlington,2023,8702604.0,5171715.0,2877356.0,307509.0,230123.0,1181982.0,2283792.0,7269597.0,1911951.0,794905.0,7269597.0,3530889.0,6474692.0,59.4%,40.6%,33.1%,3.5%,2.6%,4.4,1.2,3.2%,1.2,0.6,8.1,6.1%
burlington,2022,9322256.0,5436155.0,2868527.0,545298.0,408839.0,1021009.0,2547644.0,7089513.0,1947647.0,760417.0,7089513.0,3886101.0,6329096.0,58.3%,41.7%,30.8%,5.8%,4.4%,5.3,1.3,5.8%,1.3,0.8,8.3,11.8%
burlington,2021,5763980.0,3555024.0,2326928.0,-437623.0,-216499.0,740788.0,2510616.0,6781092.0,1683996.0,464754.0,6781092.0,2208956.0,6316338.0,61.7%,38.3%,40.4%,-7.6%,-3.8%,4.8,0.9,-3.2%,1.5,1.1,13.6,
burlington,2020,7286398.0,4228740.0,2228178.0,580525.0,465116.0,777248.0,1417371.0,5593859.0,1461901.0,528149.0,5593859.0,3057658.0,5065710.0,58.0%,42.0%,30.6%,8.0%,6.4%,5.4,1.3,8.3%,1.0,0.4,9.6,
burlington,2019,6668479.0,3868119.0,2018737.0,507584.0,414745.0,954183.0,1271900.0,3079172.0,1247742.0,322710.0,3079172.0,2800360.0,2756462.0,58.0%,42.0%,30.3%,7.6%,6.2%,4.1,2.2,13.5%,1.0,0.3,8.5,
macys,2024,23866000.0,14143000.0,8375000.0,382000.0,105000.0,4361000.0,6089000.0,16246000.0,4430000.0,4137000.0,16246000.0,9723000.0,12109000.0,59.3%,40.7%,35.1%,1.6%,0.4%,3.2,1.5,0.6%,1.4,0.4,2.9,11.2%
macys,2023,25305000.0,15306000.0,8317000.0,1730000.0,1177000.0,4267000.0,5853000.0,16866000.0,4861000.0,4082000.0,16866000.0,9999000.0,12784000.0,60.5%,39.5%,32.9%,6.8%,4.7%,3.6,1.5,7.0%,1.2,0.3,3.1,1.0%
macys,2022,25300000.0,14956000.0,8047000.0,2350000.0,1430000.0,4383000.0,6758000.0,17590000.0,5416000.0,3621000.0,17590000.0,10344000.0,13969000.0,59.1%,40.9%,31.8%,9.3%,5.7%,3.4,1.4,8.1%,1.2,0.4,3.9,0.4%
macys,2021,17346000.0,12286000.0,6767000.0,-4475000.0,-3944000.0,3774000.0,6184000.0,17706000.0,5357000.0,2553000.0,17706000.0,5060000.0,15153000.0,70.8%,29.2%,39.0%,-25.8%,-22.7%,3.3,1.0,-22.3%,1.2,0.4,5.9,
macys,2020,24560000.0,15171000.0,8998000.0,970000.0,564000.0,5188000.0,6810000.0,21172000.0,5750000.0,6377000.0,21172000.0,9389000.0,14795000.0,61.8%,38.2%,36.6%,3.9%,2.3%,2.9,1.2,2.7%,1.2,0.3,2.3,
macys,2019,24971000.0,15215000.0,9039000.0,1738000.0,1108000.0,5263000.0,7445000.0,19194000.0,5232000.0,6436000.0,19194000.0,9756000.0,12758000.0,60.9%,39.1%,36.2%,7.0%,4.4%,2.9,1.3,5.8%,1.4,0.4,2.0,
nordstrom,2024,14693000.0,9303000.0,4855000.0,251000.0,134000.0,1888000.0,3136000.0,8444000.0,3072000.0,848000.0,8444000.0,5390000.0,7596000.0,63.3%,36.7%,33.0%,1.7%,0.9%,4.9,1.7,1.6%,1.0,0.4,9.0,11.1%
nordstrom,2023,15530000.0,10019000.0,5046000.0,465000.0,245000.0,1941000.0,3209000.0,8745000.0,2990000.0,739000.0,8745000.0,5511000.0,8006000.0,64.5%,35.5%,32.5%,3.0%,1.6%,5.2,1.8,2.8%,1.1,0.4,10.8,0.0%
nordstrom,2022,14789000.0,9344000.0,4953000.0,492000.0,178000.0,2289000.0,3172000.0,8869000.0,3314000.0,581000.0,8869000.0,5445000.0,8288000.0,63.2%,36.8%,33.5%,3.3%,1.2%,4.1,1.7,2.0%,1.0,0.3,14.3,-2.3%
nordstrom,2021,10715000.0,7600000.0,4162000.0,-1047000.0,-690000.0,1863000.0,3642000.0,9538000.0,4120000.0,305000.0,9538000.0,3115000.0,9233000.0,70.9%,29.1%,38.8%,-9.8%,-6.4%,4.1,1.1,-7.2%,0.9,0.4,30.3,
nordstrom,2020,15524000.0,9932000.0,4808000.0,784000.0,496000.0,1920000.0,3230000.0,9737000.0,3520000.0,979000.0,9737000.0,5592000.0,8758000.0,64.0%,36.0%,31.0%,5.1%,3.2%,5.2,1.6,5.1%,0.9,0.4,8.9,
nordstrom,2019,15860000.0,10155000.0,4868000.0,837000.0,564000.0,1978000.0,3374000.0,7886000.0,3381000.0,873000.0,7886000.0,5705000.0,7013000.0,64.0%,36.0%,30.7%,5.3%,3.6%,5.1,2.0,7.2%,1.0,0.4,8.0,
dillards,2024,6874420.0,4031108.0,1717415.0,916617.0,738847.0,1093999.0,2208210.0,3448906.0,827756.0,1697068.0,3448906.0,2843312.0,1751838.0,58.6%,41.4%,25.0%,13.3%,10.7%,3.7,2.0,21.4%,2.7,1.3,1.0,15.7%
dillards,2023,6996215.0,3983598.0,1674317.0,1109467.0,891637.0,1120208.0,2071846.0,3329150.0,858961.0,1598638.0,3329150.0,3012617.0,1730512.0,56.9%,43.1%,23.9%,15.9%,12.7%,3.6,2.1,26.8%,2.4,1.1,1.1,3.3%
dillards,2022,6624267.0,3747665.0,1536554.0,1088363.0,862473.0,1080178.0,1914651.0,3245557.0,966186.0,1451218.0,3245557.0,2876602.0,1794339.0,56.6%,43.4%,23.2%,16.4%,13.0%,3.5,2.0,26.6%,2.0,0.9,1.2,0.6%
dillards,2021,4433185.0,3069063.0,1211483.0,-153404.0,-71654.0,1087763.0,1661940.0,3092515.0,772877.0,1441008.0,3092515.0,1364122.0,1651507.0,69.2%,30.8%,27.3%,-3.5%,-1.6%,2.8,1.4,-2.3%,2.2,0.7,1.1,
dillards,2020,6343211.0,4235978.0,1691017.0,133891.0,111081.0,1465007.0,1848082.0,3430257.0,930820.0,1623259.0,3430257.0,2107233.0,1806998.0,66.8%,33.2%,26.7%,2.1%,1.8%,2.9,1.8,3.2%,2.0,0.4,1.1,
dillards,2019,6503349.0,4291520.0,1691180.0,207962.0,170263.0,1528417.0,1770532.0,3431369.0,933535.0,1678381.0,3431369.0,2211829.0,1752988.0,66.0%,34.0%,26.0%,3.2%,2.6%,2.8,1.9,5.0%,1.9,0.3,1.0,
kohls,2024,17476000.0,10498000.0,5512000.0,717000.0,317000.0,2880000.0,3410000.0,14009000.0,2612000.0,3893000.0,14009000.0,6978000.0,10116000.0,60.1%,39.9%,31.5%,4.1%,1.8%,3.6,1.2,2.3%,1.3,0.2,2.6,5.2%
kohls,2023,18098000.0,11457000.0,5587000.0,246000.0,-19000.0,3189000.0,3736000.0,14345000.0,3115000.0,3763000.0,14345000.0,6641000.0,10582000.0,63.3%,36.7%,30.9%,1.4%,-0.1%,3.6,1.3,-0.1%,1.2,0.2,2.8,-3.2%
kohls,2022,19433000.0,11437000.0,5478000.0,1680000.0,938000.0,3067000.0,5023000.0,15054000.0,3286000.0,4661000.0,15054000.0,7996000.0,10393000.0,58.9%,41.1%,28.2%,8.6%,4.8%,3.7,1.3,6.2%,1.5,0.6,2.2,-1.3%
kohls,2021,15031000.0,10360000.0,5021000.0,-262000.0,-163000.0,2590000.0,5835000.0,15337000.0,3022000.0,5196000.0,15337000.0,4671000.0,10141000.0,68.9%,31.1%,33.4%,-1.7%,-1.1%,4.0,1.0,-1.1%,1.9,1.1,2.0,
kohls,2020,19974000.0,12140000.0,5705000.0,1099000.0,691000.0,3537000.0,4649000.0,14555000.0,2769000.0,5450000.0,14555000.0,7834000.0,9105000.0,60.8%,39.2%,28.6%,5.5%,3.5%,3.4,1.4,4.7%,1.7,0.4,1.7,
kohls,2019,20229000.0,12199000.0,5601000.0,1361000.0,801000.0,3475000.0,4835000.0,12469000.0,2730000.0,5527000.0,12469000.0,8030000.0,6942000.0,60.3%,39.7%,27.7%,6.7%,4.0%,3.5,1.6,6.4%,1.8,0.5,1.3,
amazon,2024,574785000.0,304739000.0,56186000.0,36852000.0,30425000.0,33318000.0,172351000.0,527854000.0,164917000.0,201875000.0,527854000.0,270046000.0,325979000.0,53.0%,47.0%,9.8%,6.4%,5.3%,9.1,1.1,5.8%,1.0,0.8,1.6,14.2%
amazon,2023,513983000.0,288831000.0,54129000.0,12248000.0,-2722000.0,34405000.0,146791000.0,462675000.0,155393000.0,146043000.0,462675000.0,225152000.0,316632000.0,56.2%,43.8%,10.5%,2.4%,-0.5%,8.4,1.1,-0.6%,0.9,0.7,2.2,22.4%
amazon,2022,469822000.0,272344000.0,41374000.0,24879000.0,33364000.0,32640000.0,161580000.0,420549000.0,142266000.0,138245000.0,420549000.0,197478000.0,282304000.0,58.0%,42.0%,8.8%,5.3%,7.1%,8.3,1.1,7.9%,1.1,0.9,2.0,26.4%
amazon,2021,386064000.0,233307000.0,28676000.0,22899000.0,21331000.0,23795000.0,132733000.0,321195000.0,126385000.0,93404000.0,321195000.0,152757000.0,227791000.0,60.4%,39.6%,7.4%,5.9%,5.5%,9.8,1.2,6.6%,1.1,0.9,2.4,
amazon,2020,280522000.0,165536000.0,24081000.0,14541000.0,11588000.0,20497000.0,96334000.0,225248000.0,87812000.0,62060000.0,225248000.0,114986000.0,163188000.0,59.0%,41.0%,8.6%,5.2%,4.1%,8.1,1.2,5.1%,1.1,0.9,2.6,
amazon,2019,232887000.0,139156000.0,33173000.0,12421000.0,10073000.0,17174000.0,75101000.0,162648000.0,68391000.0,94257000.0,162648000.0,93731000.0,68391000.0,59.8%,40.2%,14.2%,5.3%,4.3%,8.1,1.4,6.2%,1.1,0.8,0.7,
wayfair,2024,12003000.0,8336000.0,2447000.0,-813000.0,-738000.0,75000.0,1855000.0,3474000.0,2183000.0,-2707000.0,3474000.0,3667000.0,6181000.0,69.4%,30.6%,20.4%,-6.8%,-6.1%,111.1,3.5,-21.2%,0.8,0.8,-2.3,-5.3%
wayfair,2023,12218000.0,8802000.0,2625000.0,-1384000.0,-1331000.0,90000.0,1933000.0,3580000.0,2072000.0,-2550000.0,3580000.0,3416000.0,6130000.0,72.0%,28.0%,21.5%,-11.3%,-10.9%,97.8,3.4,-37.2%,0.9,0.9,-2.4,10.2%
wayfair,2022,13708000.0,9813000.0,2015000.0,-94000.0,-131000.0,69000.0,3012000.0,4570000.0,2217000.0,-1619000.0,4570000.0,3895000.0,6189000.0,71.6%,28.4%,14.7%,-0.7%,-1.0%,142.2,3.0,-2.9%,1.4,1.3,-3.8,26.5%
wayfair,2021,14145156.0,10032985.0,1830090.0,360349.0,184996.0,52152.0,3045802.0,4569929.0,2165594.0,-1191897.0,4569929.0,4112171.0,5761826.0,70.9%,29.1%,12.9%,2.5%,1.3%,192.4,3.1,4.0%,1.4,1.4,-4.8,
wayfair,2020,9127057.0,6979725.0,3077273.0,-929941.0,-984584.0,61692.0,1377138.0,2953048.0,1611519.0,-944208.0,2953048.0,2147332.0,3897256.0,76.5%,23.5%,33.7%,-10.2%,-10.8%,113.1,3.1,-33.3%,0.9,0.8,-4.1,
wayfair,2019,6779174.0,5192451.0,2060002.0,-473279.0,-504080.0,46164.0,1255936.0,1890850.0,1139223.0,-330721.0,1890850.0,1586723.0,2221571.0,76.6%,23.4%,30.4%,-7.0%,-7.4%,112.5,3.6,-26.7%,1.1,1.1,-6.7,
chewy,2024,11147720.0,7986202.0,2442683.0,-23625.0,39580.0,719273.0,2104348.0,3186851.0,2110877.0,510244.0,3186851.0,3161518.0,2676607.0,71.6%,28.4%,21.9%,-0.2%,0.4%,11.1,3.5,1.2%,1.0,0.7,5.2,16.0%
chewy,2023,10098939.0,7268034.0,2125766.0,55753.0,49232.0,675520.0,1520321.0,2515076.0,1769349.0,213957.0,2515076.0,2830905.0,2301119.0,72.0%,28.0%,21.0%,0.6%,0.5%,10.8,4.0,2.0%,0.9,0.5,10.8,27.7%
chewy,2022,8890773.0,6517191.0,1826858.0,-72178.0,-73817.0,560430.0,1323532.0,2086281.0,1644879.0,14736.0,2086281.0,2373582.0,2071545.0,73.3%,26.7%,20.5%,-0.8%,-0.8%,11.6,4.3,-3.5%,0.8,0.5,140.6,
chewy,2021,7146264.0,5325457.0,1397969.0,-90464.0,-92486.0,513304.0,1226778.0,1740910.0,1380862.0,-2004.0,1740910.0,1820807.0,1742914.0,74.5%,25.5%,19.6%,-1.3%,-1.3%,10.4,4.1,-5.3%,0.9,0.5,-869.7,
chewy,2020,4846743.0,3702683.0,969890.0,-252726.0,-252370.0,317808.0,629789.0,932321.0,1100538.0,-403974.0,932321.0,1144060.0,1336295.0,76.4%,23.6%,20.0%,-5.2%,-5.2%,11.7,5.2,-27.1%,0.6,0.3,-3.3,
ulta_beauty,2024,11207303.0,6826203.0,2694561.0,1678029.0,1291005.0,1742136.0,2836518.0,5707011.0,1658191.0,2279328.0,5707011.0,4381100.0,3427683.0,60.9%,39.1%,24.0%,15.0%,11.5%,3.9,2.0,22.6%,1.7,0.7,1.5,22.1%
ulta_beauty,2023,10208580.0,6164070.0,2395299.0,1638610.0,1242408.0,1603451.0,2709304.0,5370411.0,1681775.0,1959811.0,5370411.0,4044510.0,3410600.0,60.4%,39.6%,23.5%,16.1%,12.2%,3.8,1.9,23.1%,1.6,0.7,1.7,11.3%
ulta_beauty,2022,8630889.0,5262335.0,2061545.0,1297492.0,985837.0,1499218.0,2281183.0,4764379.0,1558010.0,1535373.0,4764379.0,3368554.0,3229006.0,61.0%,39.0%,23.9%,15.0%,11.4%,3.5,1.8,20.7%,1.5,0.5,2.1,8.7%
ulta_beauty,2021,6151953.0,4202794.0,1583017.0,236820.0,175835.0,1168215.0,2514777.0,5089969.0,1343713.0,1999549.0,5089969.0,1949159.0,3090420.0,68.3%,31.7%,25.7%,3.8%,2.9%,3.6,1.2,3.5%,1.9,1.0,1.5,
ulta_beauty,2020,7398068.0,4717004.0,1760716.0,901094.0,705945.0,1293701.0,2055317.0,4863872.0,1137261.0,1902094.0,4863872.0,2681064.0,2961778.0,63.8%,36.2%,23.8%,12.2%,9.5%,3.6,1.5,14.5%,1.8,0.7,1.6,
ulta_beauty,2019,6716615.0,4307304.0,1535464.0,854080.0,658559.0,1214329.0,1914861.0,3191172.0,823736.0,1820218.0,3191172.0,2409311.0,1370954.0,64.1%,35.9%,22.9%,12.7%,9.8%,3.5,2.1,20.6%,2.3,0.9,0.8,
bbb,2023,5344685.0,4129802.0,2372969.0,-2775639.0,-3498801.0,817553.0,1096909.0,2225217.0,2495884.0,-2800008.0,2225217.0,1214883.0,5025225.0,77.3%,22.7%,44.4%,-51.9%,-65.5%,5.1,2.4,-157.2%,0.4,0.1,-1.8,-21.8%
bbb,2022,7867778.0,5384287.0,2692292.0,-407578.0,-559623.0,1725410.0,2363154.0,5130572.0,2074787.0,174145.0,5130572.0,2483491.0,4956427.0,68.4%,31.6%,34.2%,-5.2%,-7.1%,3.1,1.5,-10.9%,1.1,0.3,28.5,-13.2%
bbb,2021,9233028.0,6114947.0,3224363.0,-336887.0,-150773.0,1671909.0,3620045.0,6456930.0,2294921.0,1276936.0,6456930.0,3118081.0,5179994.0,66.2%,33.8%,34.9%,-3.6%,-1.6%,3.7,1.4,-2.3%,1.6,0.8,4.1,
bbb,2020,11158580.0,7616920.0,3732498.0,-700064.0,-613816.0,2093869.0,3826285.0,7790515.0,2466526.0,1764935.0,7790515.0,3541660.0,6025580.0,68.3%,31.7%,33.4%,-6.3%,-5.5%,3.6,1.4,-7.9%,1.6,0.7,3.4,
bbb,2019,12028797.0,7924817.0,3681210.0,-87135.0,-137224.0,2618922.0,3909972.0,6570541.0,2077632.0,2560331.0,6570541.0,4103980.0,4010210.0,65.9%,34.1%,30.6%,-0.7%,-1.1%,3.0,1.8,-2.1%,1.9,0.6,1.6,
victorias_secret,2024,6182000.0,3940000.0,1996000.0,246000.0,109000.0,985000.0,1533000.0,4600000.0,1614000.0,417000.0,4600000.0,2242000.0,4183000.0,63.7%,36.3%,32.3%,4.0%,1.8%,4.0,1.3,2.4%,0.9,0.3,10.0,
victorias_secret,2023,6344000.0,4086000.0,1780000.0,478000.0,348000.0,1052000.0,1737000.0,4711000.0,1579000.0,401000.0,4711000.0,2258000.0,4310000.0,64.4%,35.6%,28.1%,7.5%,5.5%,3.9,1.3,7.4%,1.1,0.4,10.7,
victorias_secret,2022,6785000.0,4025000.0,1890000.0,870000.0,646000.0,949000.0,1691000.0,4344000.0,1698000.0,257000.0,4344000.0,2760000.0,4087000.0,59.3%,40.7%,27.9%,12.8%,9.5%,4.2,1.6,14.9%,1.0,0.4,15.9,
signet_jewelers,2024,7171100.0,4345700.0,2197700.0,621500.0,775900.0,1936600.0,3536600.0,6813200.0,1976000.0,2166500.0,6813200.0,2825400.0,4646700.0,60.6%,39.4%,30.6%,8.7%,10.8%,2.2,1.1,11.4%,1.8,0.8,2.1,11.1%
signet_jewelers,2023,7842100.0,4790000.0,2214600.0,604900.0,376700.0,2150300.0,3507100.0,6620400.0,2248100.0,1578600.0,6620400.0,3052100.0,5041800.0,61.1%,38.9%,28.2%,7.7%,4.8%,2.2,1.2,5.7%,1.6,0.6,3.2,8.5%
