Company,year,Ticker,Currency,Units,reportDate,Net Revenue,Cost of Goods,SG&A,Operating Profit,Net Profit,Inventory,Current Assets,Total Assets,Current Liabilities,Total Shareholder Equity,Total Liabilities and Shareholder Equity
Inditex/Zara,2019,BME:ITX,EUR,thousands,2019-01-31,26145000,11792000,8866000,4414000,3448000,2716000,10620000,21684000,5383000,14682000,21684000
Inditex/Zara,2020,BME:ITX,EUR,thousands,2020-01-31,28286000,12977000,7678000,4806000,3647000,2269000,11414000,28391000,7306000,14949000,28391000
